category,scientific_name,common_names,conservation_status
Vascular Plant,Smilax biltmoreana,Carrion Flower,Neutral
Vascular Plant,Smilax bona-nox,"Saw Greenbrier, Catbrier",Neutral
Vascular Plant,Smilax glauca,"Glaucous-Leaved Greenbrier, Glaucous Catbrier",Neutral
Vascular Plant,Smilax herbacea,"Carrion Flower, Smooth Herbaceous Greenbrier",Neutral
Vascular Plant,Smilax hugeri,"Huger's Carrion-Flower, Huger's Carrion Flower",Neutral
Vascular Plant,Smilax pulverulenta,Downy Carrionflower,Neutral
Vascular Plant,Smilax rotundifolia,"Common Greenbrier, Greenbrier",Neutral
Vascular Plant,Smilax tamnoides,"Hispid Greenbrier, Bristly Greenbrier",Neutral
Vascular Plant,Huperzia appalachiana,Fir Clubmoss,Neutral
Vascular Plant,Huperzia lucidula,"Shining Club-Moss, Shining Clubmoss",Neutral
Vascular Plant,Huperzia porophila,Rock Clubmoss,Neutral
Vascular Plant,Huperzia selago var. densa,Fir Clubmoss,Neutral
Vascular Plant,Huperzia selago var. selago,Fir Clubmoss,Neutral
Vascular Plant,Lycopodium annotinum,Stiff Clubmoss,Neutral
Vascular Plant,Lycopodium clavatum,"Running Clubmoss, Running Pine",Neutral
Vascular Plant,Lycopodium complanatum,Running-Pine,Neutral
Vascular Plant,Lycopodium dendroideum,Tree Groundpine,Neutral
Vascular Plant,Lycopodium digitatum,Running-Pine,Neutral
Vascular Plant,Lycopodium hickeyi,Ground Pine,Neutral
Vascular Plant,Lycopodium obscurum,Ground Pine,Neutral
Vascular Plant,Lycopodium tristachyum,"Deep-Root Clubmoss, Ground Cedar",Neutral
Vascular Plant,Asimina triloba,"Pawpaw, Paw-Paw",Neutral
Vascular Plant,Liriodendron tulipifera,"Tuliptree, Tulip Tree, Yellow Poplar",Neutral
Vascular Plant,Magnolia acuminata,"Cucumber Magnolia, Cucumber-Tree",Neutral
Vascular Plant,Magnolia fraseri,Fraser Magnolia,Neutral
Vascular Plant,Magnolia grandiflora,"Large-Flower Magnolia, Southern Magnolia",Neutral
Vascular Plant,Magnolia macrophylla,"Big-Leaved Magnolia, Bigleaf Magnolia",Neutral
Vascular Plant,Magnolia tripetala,Umbrella Magnolia,Neutral
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Neutral
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Neutral
Vascular Plant,Acalypha rhomboidea,"Virginia Threeseed Mercury, Common Threeseed Mercury",Neutral
Vascular Plant,Acalypha virginica,"Virginia Threeseed Mercury, Virginia Copperleaf",Neutral
Vascular Plant,Chamaesyce nutans,Eyebane,Neutral
Vascular Plant,Croton glandulosus var. septentrionalis,Vente Conmigo,Neutral
Vascular Plant,Croton monanthogynus,Prairie Tea,Neutral
Vascular Plant,Euphorbia commutata,"Spurge, Wood Spurge",Neutral
Vascular Plant,Euphorbia corollata,"Flowering Spruge, Flowering Spurge",Neutral
Vascular Plant,Euphorbia cyparissias,Cypress Spurge,Neutral
Vascular Plant,Euphorbia dentata var. dentata,"Toothedleaf Poinsettia, Toothed Spurge",Neutral
Vascular Plant,Euphorbia lathyris,Moleplant,Neutral
Vascular Plant,Euphorbia marginata,Snow On The Mountain,Neutral
Vascular Plant,Euphorbia mercurialina,Mercury Spurge,Neutral
Vascular Plant,Euphorbia pubentissima,Dogbane-Leaved Spurge,Neutral
Vascular Plant,Euphorbia purpurea,Glade Spurge,Species of Concern
Vascular Plant,Ricinus communis,Castorbean,Neutral
Vascular Plant,Hypericum buckleii,Buckley's St. Johnswort,Neutral
Vascular Plant,Hypericum densiflorum,"Shrubby St. John's-Wort, Bushy St. John's-Wort",Neutral
Vascular Plant,Hypericum drummondii,Nits And Lice,Neutral
Vascular Plant,Hypericum gentianoides,"Orange-Grass St. John's-Wort, Pineweed",Neutral
Vascular Plant,Hypericum graveolens,Mountain St. John's-Wort,Neutral
Vascular Plant,Hypericum hypericoides,St. Andrews Cross,Neutral
Vascular Plant,Hypericum hypericoides ssp. hypericoides,St. Andrew's Cross,Neutral
Vascular Plant,Hypericum hypericoides ssp. multicaule,"A St. John's-Wort, Low St. Andrew's Cross",Neutral
Vascular Plant,Hypericum mitchellianum,"Mitchell's St.John's-Wort, Blue Ridge St. John's-Wort",Neutral
Vascular Plant,Hypericum mutilum,"Slender St. John's-Wort, Dwarf St. John's-Wort",Neutral
Vascular Plant,Hypericum perforatum,"Common St. John's-Wort, A St. John's-Wort",Neutral
Vascular Plant,Hypericum pseudomaculatum,False Spotted St. Johnswort,Neutral
Vascular Plant,Hypericum punctatum,"Common St. John's-Wort, Dotted St. John's-Wort",Neutral
Vascular Plant,Hypericum virgatum,Sharpleaf St. Johnswort,Neutral
Vascular Plant,Linum intercursum,Sandplain Flax,Neutral
Vascular Plant,Linum medium var. texanum,Stiff Yellow Flax,Neutral
Vascular Plant,Linum striatum,"Ridged Yellow Flax, Yellow Flax",Neutral
Vascular Plant,Linum virginianum,Virginia Flax,Neutral
Vascular Plant,Passiflora incarnata,"Passion-Flower, May-Pop, Purple Passion-Flower",Neutral
Vascular Plant,Passiflora lutea,"Yellow Passion-Flower, Yellow Passionflower",Neutral
Vascular Plant,Phyllanthus caroliniensis,"Carolina Leaf-Flower, Phyllanthus",Neutral
Vascular Plant,Podostemum ceratophyllum,"Riverweed, Threadfoot",Neutral
Vascular Plant,Populus alba,"Silver Poplar, White Poplar",Neutral
Vascular Plant,Populus balsamifera ssp. balsamifera,Balm Of Gilead,Neutral
Vascular Plant,Populus deltoides,Eastern Cottonwood,Neutral
Vascular Plant,Populus grandidentata,"Large-Toothed Aspen, Big-Toothed Aspen",Neutral
Vascular Plant,Populus nigra,Lombardy Poplar,Neutral
Vascular Plant,Populus X canescens,Gray Poplar,Neutral
Vascular Plant,Populus X jackii,Jack's Poplar,Neutral
Vascular Plant,Salix alba,A Willow,Neutral
Vascular Plant,Salix babylonica,"Weeping Willow, A Willow",Neutral
Vascular Plant,Salix caprea,Goat Willow,Neutral
Vascular Plant,Salix caroliniana,Carolina Willow,Neutral
Vascular Plant,Salix discolor,Pussy Willow,Neutral
Vascular Plant,Salix eriocephala,"Missouri River Willow, Missouri Willow",Neutral
Vascular Plant,Salix humilis,Prairie Willow,Neutral
Vascular Plant,Salix humilis var. humilis,Prairie Willow,Neutral
Vascular Plant,Salix humilis var. tristis,Dwarf Willow,Neutral
Vascular Plant,Salix nigra,"A Willow, Black Willow",Neutral
Vascular Plant,Salix sericea,Silky Willow,Neutral
Vascular Plant,Salix X pendulina,Pendulous Willow,Neutral
Vascular Plant,Hybanthus concolor,Green Violet,Neutral
Vascular Plant,Viola arvensis,Field Pansy,Neutral
Vascular Plant,Viola bicolor,"Wild Pansy, Field Pansy",Neutral
Vascular Plant,Viola blanda,Sweet White Violet,Neutral
Vascular Plant,Viola blanda var. blanda,Sweet White Violet,Neutral
Vascular Plant,Viola blanda var. palustriformis,"Large-Leaved Violet, Large-Leaf White Violet",Neutral
Vascular Plant,Viola canadensis,Canadian White Violet,Neutral
Vascular Plant,Viola canadensis var. canadensis,Canadian Violet,Neutral
Vascular Plant,Viola canadensis var. corymbosa,Canadian Violet,Neutral
Vascular Plant,Viola conspersa,"American Bog Violet, Dog Violet",Neutral
Vascular Plant,Viola cucullata,Marsh Blue Violet,Neutral
Vascular Plant,Viola egglestonii,Glade Violet,Neutral
Vascular Plant,Viola hastata,"Halberd-Leaved Violet, Halberd-Leaved Yellow Violet",Neutral
Vascular Plant,Viola hirsutula,Southern Wood Violet,Neutral
Vascular Plant,Viola labradorica,Alpine Violet,Neutral
Vascular Plant,Viola lanceolata,"Lance-Leaved Violet, Lance-Leaf Violet",Neutral
Vascular Plant,Viola macloskeyi ssp. pallens,"Smooth White Violet, Northern White Violet",Neutral
Vascular Plant,Viola missouriensis,Missouri Violet,Neutral
Vascular Plant,Viola odorata,"English Violet, Sweet Violet",Neutral
Vascular Plant,Viola pedata,"Bird's-Foot Violet, Bird's Foot Violet",Neutral
Vascular Plant,Viola porterana,Stone's Violet,Neutral
Vascular Plant,Viola pubescens,Downy Yellow Violet,Neutral
Vascular Plant,Viola pubescens var. pubescens,Hairy Yellow Violet,Neutral
Vascular Plant,Viola pubescens var. scabriuscula,Downy Yellow Violet,Neutral
Vascular Plant,Viola rostrata,"Beaked Violet, Long-Spur Violet",Neutral
Vascular Plant,Viola rotundifolia,"Roundleaf Violet, Early Yellow Violet",Neutral
Vascular Plant,Viola sagittata,Arrow-Leaved Violet,Neutral
Vascular Plant,Viola sagittata var. ovata,Arrowleaf Violet,Neutral
Vascular Plant,Viola sagittata var. sagittata,Arrowleaf Violet,Neutral
Vascular Plant,Viola septemloba,Violet,Neutral
Vascular Plant,Viola septentrionalis,Northern Woodland Violet,Neutral
Vascular Plant,Viola sororia,Woolly Blue Violet,Neutral
Vascular Plant,Viola striata,"Pale Violet, Striped Violet",Neutral
Vascular Plant,Viola tripartita,"Oval-Leaved Violet, Three-Parted Violet",Neutral
Vascular Plant,Viola walteri,Violet,Neutral
Vascular Plant,Viola X primulifolia,Primrose-Leaved Violet,Neutral
Vascular Plant,Helianthemum bicknellii,"Plains Frostweed, Bicknell's Frostweed",Neutral
Vascular Plant,Helianthemum canadense,"Frostweed, Canada Frostweed",Neutral
Vascular Plant,Helianthemum propinquum,Low Frostweed,Neutral
Vascular Plant,Lechea racemulosa,"Illinois Pinweed, Pinweed",Neutral
Vascular Plant,Abutilon theophrasti,Velvetleaf,Neutral
Vascular Plant,Alcea rosea,Hollyhock,Neutral
Vascular Plant,Hibiscus moscheutos ssp. moscheutos,Crimsoneyed Rosemallow,Neutral
Vascular Plant,Hibiscus syriacus,"Shrubby Althea, Rose-Of-Sharon",Neutral
Vascular Plant,Malva moschata,Musk Mallow,Neutral
Vascular Plant,Malva neglecta,"Common Mallow, Dwarf Cheeseweed",Neutral
Vascular Plant,Malva sylvestris,"High Mallow, High Cheeseweed",Neutral
Vascular Plant,Sida hermaphrodita,Virginia Fanpetals,Neutral
Vascular Plant,Sida spinosa,Prickly Mallow,Neutral
Vascular Plant,Tilia americana,American Basswood,Neutral
Vascular Plant,Tilia americana var. americana,American Basswood,Neutral
Vascular Plant,Tilia americana var. heterophylla,White Basswood,Neutral
Vascular Plant,Dirca palustris,Eastern Leatherwood,Neutral
Vascular Plant,Ammannia coccinea,"Ammannia, Tooth-Cup",Neutral
Vascular Plant,Cuphea viscosissima,Clammy Cuphea,Neutral
Vascular Plant,Rotala ramosior,"Rotala, Toothcup",Neutral
Vascular Plant,Rhexia mariana,"Maryland Meadow Beauty, Pale Meadow Beauty",Neutral
Vascular Plant,Rhexia mariana var. mariana,Maryland Meadowbeauty,Neutral
Vascular Plant,Rhexia virginica,"Meadow Beauty, Virginia Meadow-Beauty",Neutral
Vascular Plant,Circaea alpina,"Smaller Enchanter's-Nightshade, Small Enchanter's Nightshade",Neutral
Vascular Plant,Circaea lutetiana ssp. canadensis,"Larger Enchanter's-Nightshade, Intermediate Enchanter's Nightshade",Neutral
Vascular Plant,Epilobium ciliatum ssp. ciliatum,Willow-Herb,Neutral
Vascular Plant,Epilobium coloratum,Willow-Herb,Neutral
Vascular Plant,Gaura biennis,Biennial Gaura,Neutral
Vascular Plant,Gaura filipes,Slenderstalk Beeblossom,Neutral
Vascular Plant,Ludwigia alternifolia,"Bushy Seedbox, Alternate-Leaved Seedbox",Neutral
Vascular Plant,Ludwigia decurrens,"Decurrent Seedbox, Primrose Willow",Neutral
Vascular Plant,Ludwigia grandiflora,Large-Flower Primrose-Willow,Neutral
Vascular Plant,Ludwigia palustris,Water Purslane,Neutral
Vascular Plant,Ludwigia peploides ssp. glabrescens,Floating Primrosewillow,Neutral
Vascular Plant,Ludwigia uruguayensis,Seedbox,Neutral
Vascular Plant,Oenothera biennis,"Common Evening-Primrose, Evening Primrose",Neutral
Vascular Plant,Oenothera fruticosa ssp. fruticosa,Sundrops,Neutral
Vascular Plant,Oenothera fruticosa ssp. glauca,Sundrops,Neutral
Vascular Plant,Oenothera laciniata,"Cut-Leaved Evening Primrose, Cut-Leaved Evening-Primrose",Neutral
Vascular Plant,Oenothera linifolia,Threadleaf Eveningprimrose,Neutral
Vascular Plant,Oenothera speciosa,"Showy Evening Primrose, White Evening-Primrose",Neutral
Vascular Plant,Oenothera triloba,Stemless Eveningprimrose,Neutral
Vascular Plant,Nuphar lutea ssp. advena,Yellow Water-Lily,Neutral
Vascular Plant,Nymphaea odorata,"American Water-Lily, White Water-Lily",Neutral
Vascular Plant,Botrychium biternatum,"Sparse-Lobe Grape-Fern, Southern Grape Fern",Neutral
Vascular Plant,Botrychium dissectum,"Cut-Leaved Grape Fern, Cutleaf Grape-Fern",Neutral
Vascular Plant,Botrychium jenmanii,Dixie Grapefern,Neutral
Vascular Plant,Botrychium lanceolatum var. angustisegmentum,Lanceleaf Grapefern,Neutral
Vascular Plant,Botrychium matricariifolium,"Matricary Grapefern, Daisy-Leaf Moonwort",Neutral
Vascular Plant,Botrychium oneidense,Blunt-Lobed Grape Fern,Neutral
Vascular Plant,Botrychium simplex,Least Moonwort,Neutral
Vascular Plant,Botrychium virginianum,Rattlesnake Fern,Neutral
Vascular Plant,Ophioglossum vulgatum,"Southern Adderstongue, Southern Adder's-Tongue",Neutral
Vascular Plant,Osmunda cinnamomea,Cinnamon Fern,Neutral
Vascular Plant,Osmunda claytoniana,Interrupted Fern,Neutral
Vascular Plant,Osmunda regalis var. spectabilis,Royal Fern,Neutral
Vascular Plant,Oxalis corniculata,Creeping Woodsorrel,Neutral
Vascular Plant,Oxalis dillenii,"Dillen's Woodsorrel, Yellow Sorrel",Neutral
Vascular Plant,Oxalis grandis,"Large Wood-Sorrel, Great Yellow Wood-Sorrel",Neutral
Vascular Plant,Oxalis montana,"White Wood-Sorrel, Wood-Sorrel",Neutral
Vascular Plant,Oxalis stricta,"Yellow Wood-Sorrel, Upright Yellow Wood-Sorrel",Neutral
Vascular Plant,Oxalis violacea,Violet Wood-Sorrel,Neutral
Vascular Plant,Juniperus chinensis,Chinese Juniper,Neutral
Vascular Plant,Juniperus virginiana,Red Cedar,Neutral
Vascular Plant,Platycladus orientalis,Oriental White Cedar,Neutral
Vascular Plant,Thuja occidentalis,Northern White Cedar,Neutral
Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern
Vascular Plant,Picea abies,Norway Spruce,Neutral
Vascular Plant,Picea rubens,Red Spruce,Neutral
Vascular Plant,Pinus,Pine,Neutral
Vascular Plant,Pinus echinata,Short-Leaf Pine,Neutral
Vascular Plant,Pinus palustris,Longleaf Pine,Neutral
Vascular Plant,Pinus pungens,Table Mountain Pine,Neutral
Vascular Plant,Pinus rigida,Pitch Pine,Neutral
Vascular Plant,Pinus strobus,White Pine,Neutral
Vascular Plant,Pinus taeda,Loblolly Pine,Neutral
Vascular Plant,Pinus virginiana,Virginia Or Scrub Pine,Neutral
Vascular Plant,Tsuga canadensis,Eastern Hemlock,Neutral
Vascular Plant,Aristolochia macrophylla,Dutchman's Pipe,Neutral
Vascular Plant,Aristolochia serpentaria,"Virginia Snakeroot, Snakeroot",Neutral
Vascular Plant,Asarum canadense,Wild Ginger,Neutral
Vascular Plant,Hexastylis arifolia,"Little Brown Jug, Little Brown Jugs",Neutral
Vascular Plant,Hexastylis heterophylla,Variableleaf Heartleaf,Neutral
Vascular Plant,Hexastylis shuttleworthii,"Large-Flowered Heartleaf, Spotted Little Brown Jugs",Neutral
Vascular Plant,Bulbostylis capillaris,"Dense-Tuft Hair-Sedge, Bulbostylis",Neutral
Vascular Plant,Carex,"Sedge Species, Sedges, Sedge, Carex",Neutral
Vascular Plant,Carex abscondita,Thicket Sedge,Neutral
Vascular Plant,Carex aestivalis,Summer Sedge,Neutral
Vascular Plant,Carex aggregata,Glomerate Sedge,Neutral
Vascular Plant,Carex albicans,Whitetinge Sedge,Neutral
Vascular Plant,Carex albicans var. albicans,Sedge,Neutral
Vascular Plant,Carex albicans var. australis,Sedge,Neutral
Vascular Plant,Carex albicans var. emmonsii,"Emmons Sedge, Sedge",Neutral
Vascular Plant,Carex albolutescens,"Light-Colored Sedge, Greenish-White Sedge",Neutral
Vascular Plant,Carex albursina,"Sedge, A Sedge",Neutral
Vascular Plant,Carex amphibola,Eastern Narrowleaf Sedge,Neutral
Vascular Plant,Carex amphibola var. rigida,"Rigid Sedge, A Sedge",Neutral
Vascular Plant,Carex amphibola var. turgida,Turgid Sedge,Neutral
Vascular Plant,Carex annectens,"Sedge, A Sedge",Neutral
Vascular Plant,Carex appalachica,Appalachian Sedge,Neutral
Vascular Plant,Carex atlantica,Prickly Bog Sedge,Neutral
Vascular Plant,Carex atlantica ssp. atlantica,Sedge,Neutral
Vascular Plant,Carex atlantica ssp. capillacea,Prickly Bog Sedge,Neutral
Vascular Plant,Carex austrocaroliniana,"South Carolina Sedge, A Sedge",Neutral
Vascular Plant,Carex baileyi,"Bailey Sedge, Bailey's Sedge",Neutral
Vascular Plant,Carex barrattii,Barratt's Sedge,Neutral
Vascular Plant,Carex biltmoreana,Biltmore Sedge,Neutral
Vascular Plant,Carex blanda,"Sedge, Woodland Sedge",Neutral
Vascular Plant,Carex brevior,"Fescue Sedge, Shortbeak Sedge, Brevior Sedge",Neutral
Vascular Plant,Carex bromoides,"Sedge, A Sedge",Neutral
Vascular Plant,Carex brunnescens ssp. brunnescens,Brownish Sedge,Neutral
Vascular Plant,Carex brunnescens ssp. sphaerostachya,"Brownish Sedge, Few Flowered Sedge",Neutral
Vascular Plant,Carex caroliniana,"Carolina Sedge, Hirsute Sedge",Neutral
Vascular Plant,Carex cephalophora,"Sedge, Oval-Leaved Sedge",Neutral
Vascular Plant,Carex cherokeensis,Cherokee Sedge,Neutral
Vascular Plant,Carex communis,"Fibrous-Root Sedge, Common Sedge",Neutral
Vascular Plant,Carex communis var. amplisquama,Dixie Sedge,Species of Concern
Vascular Plant,Carex communis var. communis,Fibrousroot Sedge,Neutral
Vascular Plant,Carex complanata,Blue Sedge,Neutral
Vascular Plant,Carex conjuncta,Soft Fox Sedge,Neutral
Vascular Plant,Carex corrugata,Prune-Fruit Sedge,Neutral
Vascular Plant,Carex crebriflora,Coastalplain Sedge,Neutral
Vascular Plant,Carex crinita var. crinita,Drooping Sedge,Neutral
Vascular Plant,Carex cristatella,"Sedge, Small Crested Sedge",Neutral
Vascular Plant,Carex cumberlandensis,Local Sedge,Neutral
Vascular Plant,Carex debilis,"White Edge Sedge, White-Edge Sedge",Neutral
Vascular Plant,Carex debilis var. debilis,White Edge Sedge,Neutral
Vascular Plant,Carex debilis var. interjecta,Necklace Sedge,Neutral
Vascular Plant,Carex debilis var. pubera,Hairy Necklace Sedge,Neutral
Vascular Plant,Carex debilis var. rudgei,"White-Edge Sedge, Necklace Sedge",Neutral
Vascular Plant,Carex eburnea,"Black-Fruited Sedge, Ebony Sedge",Neutral
Vascular Plant,Carex festucacea,Fescue Sedge,Neutral
Vascular Plant,Carex flaccosperma,Thinfruit Sedge,Neutral
Vascular Plant,Carex frankii,"Frank's Sedge, Frank Sedge",Neutral
Vascular Plant,Carex gracilescens,Slender Looseflower Sedge,Neutral
Vascular Plant,Carex gracillima,Graceful Sedge,Neutral
Vascular Plant,Carex granularis,Granular Sedge,Neutral
Vascular Plant,Carex gravida var. lunelliana,Heavy Sedge,Neutral
Vascular Plant,Carex grayi,Gray's Sedge,Neutral
Vascular Plant,Carex grisea,Inflated Narrow-Leaf Sedge,Neutral
Vascular Plant,Carex gynandra,"Drooping Sedge, A Sedge",Neutral
Vascular Plant,Carex hirsutella,Hirsute Sedge,Neutral
Vascular Plant,Carex intumescens,Intumescent Sedge,Neutral
Vascular Plant,Carex jamesii,"Nebraska Sedge, James? Sedge",Neutral
Vascular Plant,Carex kraliana,Kral's Sedge,Neutral
Vascular Plant,Carex laevivaginata,"Smooth-Sheath Sedge, Sedge",Neutral
Vascular Plant,Carex laxiculmis,"Sedge, Spreading Sedge",Neutral
Vascular Plant,Carex laxiflora,"Broad Looseflower Sedge, Loose-Flowered Sedge",Neutral
Vascular Plant,Carex leavenworthii,Leavenworth Sedge,Neutral
Vascular Plant,Carex leptalea,"Bristly-Stalk Sedge, Sedge",Neutral
Vascular Plant,Carex leptonervia,"Nerved Sedge, Finely-Nerved Sedge",Neutral
Vascular Plant,Carex louisianica,Louisiana Sedge,Neutral
Vascular Plant,Carex lucorum var. austrolucorum,Blue Ridge Sedge,Neutral
Vascular Plant,Carex lucorum var. lucorum,Long-Beaked Sedge,Neutral
Vascular Plant,Carex lupulina,"Larger Hop Sedge, A Sedge",Neutral
Vascular Plant,Carex lurida,"Shallow Sedge, Smaller Hop Sedge",Neutral
Vascular Plant,Carex macrochaeta,Alaska Large Awn Sedge,Neutral
Vascular Plant,Carex misera,"Wretched Sedge, Miserable Sedge",Neutral
Vascular Plant,Carex muehlenbergii var. muehlenbergii,Muhlenberg's Sedge,Neutral
Vascular Plant,Carex nigromarginata,"Black-Edge Sedge, Black-Margined Sedge",Neutral
Vascular Plant,Carex normalis,"Sedge, A Sedge",Neutral
Vascular Plant,Carex oligocarpa,Sedge,Neutral
Vascular Plant,Carex oxylepis var. oxylepis,Sharpscale Sedge,Neutral
Vascular Plant,Carex pedunculata,"Longstalk Sedge, Peduncled Sedge",Neutral
Vascular Plant,Carex pensylvanica,Pennsylvania Sedge,Neutral
Vascular Plant,Carex plantaginea,Plantain-Leaved Sedge,Neutral
Vascular Plant,Carex platyphylla,"Glaucous Broad-Leaved Sedge, Broad-Leaved Sedge",Neutral
Vascular Plant,Carex prasina,Drooping Sedge,Neutral
Vascular Plant,Carex projecta,"Necklace Sedge, Sedge",Neutral
Vascular Plant,Carex purpurifera,"Purple-Based Sedge, Purple Sedge",Neutral
Vascular Plant,Carex radiata,"Radiate Sedge, Stellate Sedge",Neutral
Vascular Plant,Carex retroflexa,Reflexed Sedge,Neutral
Vascular Plant,Carex rosea,"Roseate Sedge, A Sedge",Neutral
Vascular Plant,Carex ruthii,"Ruth Sedge, Ruth's Sedge",Neutral
Vascular Plant,Carex scabrata,Rough Sedge,Neutral
Vascular Plant,Carex scoparia,"Sedge, Pointed Broom Sedge",Neutral
Vascular Plant,Carex sparganioides,"Bur-Reed Sedge, Sedge",Neutral
Vascular Plant,Carex squarrosa,"Squarrose Sedge, Round-Headed Sedge",Neutral
Vascular Plant,Carex stipata,"Stalk-Grain Sedge, Stipate Sedge",Neutral
Vascular Plant,Carex striatula,Lined Sedge,Neutral
Vascular Plant,Carex stricta,Uptight Sedge,Neutral
Vascular Plant,Carex styloflexa,"Bent Sedge, Sedge",Neutral
Vascular Plant,Carex swanii,"Swan's Sedge, Swan Sedge",Neutral
Vascular Plant,Carex texensis,Texas Sedge,Neutral
Vascular Plant,Carex tonsa var. rugosperma,Parachute Sedge,Neutral
Vascular Plant,Carex torta,Twisted Sedge,Neutral
Vascular Plant,Carex tribuloides,"Blunt Broom Sedge, Sedge",Neutral
Vascular Plant,Carex trichocarpa,Hairyfruit Sedge,Neutral
Vascular Plant,Carex trisperma,Three-Seeded Sedge,Neutral
Vascular Plant,Carex umbellata,"Umbel Sedge, A Sedge",Neutral
Vascular Plant,Carex virescens,"Ribbed Sedge, Sedge",Neutral
Vascular Plant,Carex vulpinoidea,Fox Sedge,Neutral
Vascular Plant,Carex willdenowii,Willdenow's Sedge,Neutral
Vascular Plant,Cymophyllus fraserianus,Fraser's Sedge,Neutral
Vascular Plant,Cyperus bipartitus,"Shining Flatsedge, Slender Flatsedge",Neutral
Vascular Plant,Cyperus croceus,Round-Headed Umbrella Sedge,Neutral
Vascular Plant,Cyperus dipsaceus,"Wright's Flatsedge, Wright Flatsedge",Neutral
Vascular Plant,Cyperus echinatus,Globe Flatsedge,Neutral
Vascular Plant,Cyperus esculentus,Chufa Flatsedge,Neutral
Vascular Plant,Cyperus flavescens,"Yellow Flatsedge, Pale Flatsedge",Neutral
Vascular Plant,Cyperus iria,Ricefield Flatsedge,Neutral
Vascular Plant,Cyperus lancastriensis,"Umbrella-Sedge, Many-Flowered Umbrella-Sedge",Neutral
Vascular Plant,Cyperus lupulinus ssp. lupulinus,Great Plains Flatsedge,Neutral
Vascular Plant,Cyperus polystachyos var. texensis,Umbrella-Sedge,Neutral
Vascular Plant,Cyperus pseudovegetus,Marsh Flatsedge,Neutral
Vascular Plant,Cyperus refractus,Reflexed Flatsedge,Neutral
Vascular Plant,Cyperus retrofractus,Rough Flatsedge,Neutral
Vascular Plant,Cyperus retrorsus,"Umbrella-Sedge, Retrorse Flatsedge",Neutral
Vascular Plant,Cyperus retrorsus var. robustus,Pine Barren Flatsedge,Neutral
Vascular Plant,Cyperus rivularis,Riverside Umbrella-Sedge,Neutral
Vascular Plant,Cyperus rotundus,Nutgrass,Neutral
Vascular Plant,Cyperus setigerus,Thin-Fruited Umbrella Sedge,Neutral
Vascular Plant,Cyperus strigosus,"Umbrella-Sedge, Straw-Colored Flatsedge",Neutral
Vascular Plant,Dulichium arundinaceum,Three-Way Sedge,Neutral
Vascular Plant,Eleocharis acicularis,Needle Sedge,Neutral
Vascular Plant,Eleocharis microcarpa,Smallfruit Spikerush,Neutral
Vascular Plant,Eleocharis obtusa,"Blunt Spike-Rush, Spike-Rush",Neutral
Vascular Plant,Eleocharis palustris,Spike-Rush,Neutral
Vascular Plant,Eleocharis quadrangulata,Squarestem Spikerush,Neutral
Vascular Plant,Eleocharis tenuis var. verrucosa,Slender Spikerush,Neutral
Vascular Plant,Eleocharis tuberculosa,Cone-Cup Spikerush,Neutral
Vascular Plant,Fimbristylis autumnalis,"Autumn Fimbristylis, Slender Fimbry",Neutral
Vascular Plant,Fimbristylis tomentosa,Woolly Fimbry,Neutral
Vascular Plant,Kyllinga brevifolioides,"Short-Foliaged Umbrella-Sedge, Pasture Flatsedge",Neutral
Vascular Plant,Kyllinga gracillima,Spikesedge,Neutral
Vascular Plant,Kyllinga pumila,Annual Umbrella-Sedge,Neutral
Vascular Plant,Rhynchospora capitellata,"Beak-Rush, Brownish Beakrush",Neutral
Vascular Plant,Rhynchospora glomerata,Clustered Beaksedge,Neutral
Vascular Plant,Rhynchospora gracilenta,Slender Beaksedge,Neutral
Vascular Plant,Schoenoplectus purshianus,Weakstalk Bulrush,Neutral
Vascular Plant,Schoenoplectus tabernaemontani,"Great Bulrush, Softstem Bulrush, Soft-Stem Bulrush",Neutral
Vascular Plant,Scirpus atrovirens,"Woolgrass Bulrush, Bulrush",Neutral
Vascular Plant,Scirpus cyperinus,"Cottongrass Bulrush, Bulrush",Neutral
Vascular Plant,Scirpus expansus,Woodland Bulrush,Neutral
Vascular Plant,Scirpus lineatus,Drooping Bulrush,Neutral
Vascular Plant,Scirpus pendulus,Rufous Bulrush,Neutral
Vascular Plant,Scirpus polyphyllus,"Leafy Bulrush, Many-Leaved Bulrush",Neutral
Vascular Plant,Scirpus purshianus,"Weakstalk Bulrush, Bulrush",Neutral
Vascular Plant,Scirpus tabernaemontani,Great Bulrush,Neutral
Vascular Plant,Scleria oligantha,"Little-Headed Nutrush, Nut-Rush",Neutral
Vascular Plant,Scleria pauciflora,Fewflower Nutrush,Neutral
Vascular Plant,Scleria triglomerata,"Nut-Rush, Whip Nutrush",Neutral
Vascular Plant,Trichophorum caespitosum,Tufted Bulrush,Neutral
Vascular Plant,Trichophorum caespitosus,Deerhair Bulrush,Neutral
Vascular Plant,Juncus,Rush,Neutral
Vascular Plant,Juncus acuminatus,"Acuminate Rush, Sharp-Fruit Rush",Neutral
Vascular Plant,Juncus biflorus,Two-Flowered Rush,Neutral
Vascular Plant,Juncus brevicaudatus,"Short-Caudate Rush, Narrow-Panicled Rush",Neutral
